"Question", "A", "B", "C", "D", "Correct Answer", "Explanation"
"1. भारतीय वन्य सेवा की स्थापना कब हुई?", "1864 ई", "1857 ई", "1861 ई", "इनमें कोई नहीं", "A", "भारतीय वन्य सेवा की स्थापना 1864 में हुई थी।"
"2. वनों के लुप्त होने की प्रक्रिया को क्या कहते हैं?", "प्रदूषण", "वन-क्रविनाश", "वाक्रनकी", "वनोत्पाद", "B", "वनों के लुप्त होने की प्रक्रिया को वन-क्रविनाश कहा जाता है।"
"3. इम्पीरियल फॉरेस्ट इंस्टीट्यूट कहाँ स्थित है?", "कृषिलिंग", "देहरादून", "कृषमला", "इनमें कोई नहीं", "B", "इम्पीरियल फॉरेस्ट इंस्टीट्यूट देहरादून में स्थित है।"
"4. जम्मू कश्मीर के चरवाहों को क्या कहा जाता है?", "गुज्जर बकरवाल", "गद्दी", "मजदूर", "मोक्रटया", "A", "जम्मू कश्मीर के चरवाहों को गुज्जर बकरवाल कहा जाता है।"
"5. भाबर किसे कहते हैं?", "ऊँचे पहाड़ों पर स्थित घास के मैदान", "तटीय मैदान", "पहाड़ी क्षेत्रों में सूखे जंगल का इलाका", "इनमें कोई नहीं", "A", "भाबर ऊँचे पहाड़ों पर स्थित घास के मैदान को कहा जाता है।"
"6. क्रहटलर का प्रचार मंत्री कौन था?", "हेलमुट", "पुतिन", "ग्योबल्स", "इनमें कोई नहीं", "C", "क्रहटलर का प्रचार मंत्री ग्योबल्स था।"
"7. इटली में किसने क्रांति लाने की योजना बनाई?", "क्रबस्माकज कालज", "मार्क्ज", "ज्यूसेप मार्क्जनी", "इनमें कोई नहीं", "C", "ज्यूसेप मार्क्जनी ने इटली में क्रांति लाने की योजना बनाई।"
"8. धार क्या होते हैं?", "मैदानों में बाग", "ऊँचे पर्वतों में चारागाह", "सागरों में फसल", "इनमें कोई नहीं", "B", "धार ऊँचे पर्वतों में चारागाह होते हैं।"
"9. उत्तर प्रदेश, पंजाब, मध्य प्रदेश और महाराष्ट्र के चरवाहों के समुदाय को क्या कहते हैं?", "बुग्याल", "राइका", "धींगर", "बींजारा", "C", "उत्तर प्रदेश, पंजाब, मध्य प्रदेश और महाराष्ट्र के चरवाहों के समुदाय को धींगर कहा जाता है।"
"10. जींगल एर्ीं जमीन को साफ कर स्थान बदल - बदल कर की जाने वाली खेती को क्या कहा जाता है?", "झूम या घुमींती खेती", "बींजारा खेती", "रन-कृषि", "व्यावसायिक खेती", "A", "जींगल एर्ीं जमीन को साफ कर की जाने वाली खेती को झूम या घुमिंती खेती कहा जाता है।"
"11. भारत का प्रथम पुनः महायानदेशक कौन था?", "लॉर्व र्लहौजी", "लार्व मैकॉले", "र्ायट्ररच बैंडर्स", "इनमें कोई नहीं", "B", "भारत का प्रथम पुनः महायानदेशक लार्व मैकॉले था।"
"12. रायका समुदाय के लोग ज्यादातर किस पशु को पालते थे?", "गाय", "भैंस", "ऊँट", "बकर", "C", "रायका समुदाय के लोग ज्यादातर ऊँट को पालते थे।"
"13. इम्पीरियल फॉरेस्ट रिसर्च इंस्टीट्यूट कब स्थापित की गई?", "1890 ई", "1900 ई", "1906 ई", "इनमें कोई नहीं", "A", "इम्पीरियल फॉरेस्ट रिसर्च इंस्टीट्यूट 1890 में स्थापित की गई।"
"14. औपनिवेशिक सरकार ने अपराधी जनसंख्या अधिनियम कब पारित किया था?", "1861", "1881", "1891", "1871", "A", "औपनिवेशिक सरकार ने अपराधी जनसंख्या अधिनियम 1861 में पारित किया था।"
"15. 1947 ई. के बाद चरवाहों ने कौन-सी नदी पर रोक लगा दी थी?", "कृष्णा", "गंगा", "यमुना", "कावेरी", "C", "1947 ई. के बाद चरवाहों ने यमुना नदी पर रोक लगा दी थी।"
"16. गुज्जर बकरवाल समुदाय के लोग ग्रीष्म में कहाँ रहते थे?", "कृषिक पर्वत की पहाड़ियों पर", "कश्मीर घाटी", "अरावली पर्वत पर", "गंगा के मैदान में", "B", "गुज्जर बकरवाल समुदाय के लोग ग्रीष्म में कश्मीर घाटी में रहते थे।"
"17. अफ्रीका में कौन-सा समुदाय है?", "बेदुइन", "बरबेस", "मासाई", "सभी", "C", "अफ्रीका में मासाई समुदाय है, जो अपनी विशिष्ट संस्कृति के लिए प्रसिद्ध है।"
"18. किस संधि द्वारा जर्मनी पर कठोर एवं अपमानजनक शर्तें थोप दी गईं?", "वर्साय संधि", "क्रवेना संधि", "पेरिस संधि", "इनमें कोई नहीं", "A", "जर्मनी पर वर्साय संधि द्वारा कठोर एवं अपमानजनक शर्तें थोप दी गईं।"
"19. सदी में गुज्जर बकरवाल समुदाय के लोग कहाँ चले जाते थे?", "कृषिक पर्वत की पहाड़ियों पर", "कश्मीर घाटी", "अरावली पर्वत पर", "गंगा के मैदान में", "B", "गुज्जर बकरवाल समुदाय के लोग सर्दियों में कश्मीर घाटी में चले जाते थे।"
"20. सेरेन्गेटी नेशनल पार्क किस देश में है?", "अमेरिका", "अफ्रीका", "ईरान", "भारत", "B", "सेरेन्गेटी नेशनल पार्क अफ्रीका में है, विशेष रूप से तंजानिया में।"
"21. मई 1945 में अमेरिका ने जापान के किन शहरों पर परमाणु बम गिराए?", "ओसाका और क्योटो", "हिरोशिमा और नागासाकी", "टोक्यो और कोये", "इनमें कोई नहीं", "B", "अमेरिका ने मई 1945 में हिरोशिमा और नागासाकी पर परमाणु बम गिराए।"
"22. रोपण से आप क्या समझते हैं?", "एक खास प्रकार की फसल", "धान और गेहूँ की फसल", "बड़ी पट्टी या क्षेत्र में फलों की खेती", "कटलहन की खेती", "C", "रोपण से बड़ा क्षेत्रफल या पट्टी में फलों की खेती को समझते हैं।"
"23. अफ्रीका का सबसे पुराना चरवाहा कबीला कहलाता है?", "बुकरन", "राइका", "मासाई", "इनमें कोई नहीं", "C", "मासाई अफ्रीका का सबसे पुराना चरवाहा कबीला कहलाता है।"
"24. महाराष्ट्र का एक महत्वपूर्ण चरवाहा समुदाय है", "राइका", "बोरान", "धनगर", "इनमें कोई नहीं", "C", "धनगर महाराष्ट्र का एक महत्वपूर्ण चरवाहा समुदाय है।"
"25. संयुक्त राष्ट्र संघ की स्थापना कब हुई?", "1939 ई", "1945 ई", "1948 ई", "1947 ई", "B", "संयुक्त राष्ट्र संघ की स्थापना 1945 में हुई।"
"26. इवैक्यूएशन से नाक्रिजियों का क्या तात्पर्य था?", "गैस-चेम्बरों में मृत्यु", "गैस-चेम्बरों में खेल", "गैस-चेम्बरों में छुपाना", "इनमें कोई नहीं", "A", "इवैक्यूएशन का तात्पर्य गैस-चेम्बरों में मृत्यु से था।"
"27. प्रथम विश्व युद्ध कब से कब तक हुआ?", "1916 से 1920", "1914 से 1918", "1939 से 1945", "1912 से 1918", "B", "प्रथम विश्व युद्ध 1914 से 1918 तक हुआ।"
"28. द्वितीय विश्व युद्ध कब से कब तक हुआ?", "1939 से 1945", "1918 से 1939", "1914 से 1918", "1940 से 1945", "A", "द्वितीय विश्व युद्ध 1939 से 1945 तक हुआ।"
"29, "द्वितीय विश्वयुद्ध की शुरुआत जर्मनी द्वारा किस देश में आक्रमण के साथ हुई थी?", A. "बेल्जियम", B. "पोलैंड", C. "ऑस्ट्रिया", D. "चेकोस्लोवाकिया", "B"
"30. जर्मन मुद्रा को क्या कहा जाता है?", "मार्क", "फ्रैंक", "क्रोएशियन", "इनमें कोई नहीं", "A", "जर्मन मुद्रा को मार्क कहा जाता है।"
"31. युद्ध के मोर्चे पर सैनिकों के छिपने के लिए खोदे गए गड्ढे को क्या कहते हैं?", "खुदाई", "बींकर", "नाला", "इनमें कोई नहीं", "B", "युद्ध के मोर्चे पर सैनिकों के छिपने के लिए खोदे गए गड्ढे को बींकर कहा जाता है।"
"32. किसी समुदाय को दूसरे समुदाय से अलग रखना कहलाता है?", "घेटो", "क्रशकरवर", "सीलाप गृह", "इनमें कोई नहीं", "A", "किसी समुदाय को दूसरे समुदाय से अलग रखना घेटो कहलाता है।"
"33. नाज़ीवादी जर्मनी कहाँ के रहने वाले थे?", "जापान", "अमेरिका", "जर्मनी", "रूस", "C", "नाज़ीवादी जर्मनी जर्मनी के रहने वाले थे।"
"34. धुरी शक्तियों के देशों को क्या कहा गया है?", "अमेरिका, जापान एवं इटली", "जर्मनी, जापान एवं इटली", "तुर्की, जापान, एवं जर्मनी", "जर्मनी, रूस और", "B", "धुरी शक्तियों के देशों को जर्मनी, जापान एवं इटली कहा गया है।"
"35. केंद्रीय शक्तियों में कौन - कौन से देश थे?", "जर्मनी, इटली, जापान", "ब्रिटेन, जर्मनी, इटली", "ब्रिटेन, फ्रांस, रूस", "ऑस्ट्रिया, जर्मनी, जापान", "A", "केंद्रीय शक्तियों में जर्मनी, ऑस्ट्रिया और इटली शामिल थे।"
"36. लेनिन के बाद रूसी कम्युनिस्ट पार्टी का नेतृत्व किसने किया?", "लेनिन", "गोर्बाचोव", "स्टालिन", "सोलोकॉय", "C", "लेनिन के बाद रूसी कम्युनिस्ट पार्टी का नेतृत्व स्टालिन ने किया।"
"37. सोवियत संघ का गठन कब हुआ?", "1989", "1991", "1980", "2004", "B", "सोवियत संघ का गठन 1991 में हुआ।"
"38. फ्रांसीसी समाज में कितने प्रतिशत जनसंख्या कृषकों की थी?", "45%", "60%", "75%", "90%", "A", "फ्रांसीसी समाज में लगभग 45% जनसंख्या कृषकों की थी।"
"39. रूस में अक्टूबर 1917 की क्रांति के लिए कौन सी तारीख तय की गई थी?", "20 अक्टूबर", "22 अक्टूबर", "23 अक्टूबर", "24 अक्टूबर", "D", "रूस में अक्टूबर 1917 की क्रांति के लिए 24 अक्टूबर तय की गई थी।"
"40. रूसी बोल्शेविक पार्टी का नेता कौन था?", "लेनिन", "मार्क्स", "मेस्र्कम गोबी", "इनमें कोई नहीं", "A", "रूसी बोल्शेविक पार्टी का नेता लेनिन था।"
"41. अक्टूबर क्रांति प्रारंभ होने के समय रूस का प्रधान मंत्री था?", "केरेन्स्की", "लेनिन", "पुत्रिन", "इनमें कोई नहीं", "A", "अक्टूबर क्रांति प्रारंभ होने के समय रूस का प्रधान मंत्री केरेन्स्की था।"
"42. 1917 में जारशाह के पतन की घटना को क्या कहते हैं?", "फरवरी क्रांति", "खून की क्रांति", "अक्टूबर क्रांति", "मार्च की क्रांति", "A", "1917 में जारशाह के पतन की घटना को फरवरी क्रांति कहा जाता है।"
"43. जार किस देश का शासक था?", "अमेरिका", "रूस", "जापान", "चीन", "B", "जार रूस का शासक था।"
"44. लेनिन कौन था?", "बोल्शेविक पार्टी का नेता", "अंतरिम सरकार का नेता", "मेनशेविक पार्टी का नेता", "उदारवादी दल का नेता", "A", "लेनिन बोल्शेविक पार्टी का नेता था।"
"45. कुल किसे कहते हैं?", "सेना की अच्छी हालत", "किसान की अच्छी हालत", "राजा की अच्छी हालत", "रानी की अच्छी हालत", "B", "कुल किसान की अच्छी हालत को कहते हैं।"
"46. क्यूबा के नायक को कौन था?", "रॉबर्ट ओरेन", "पादर रोपॉन", "फादर टेटे", "इनमें कोई नहीं", "A", "क्यूबा के नायक रॉबर्ट ओरेन थे।"
"47. सेंट पीटर्सबर्ग का नया नाम क्या पड़ा?", "पेत्रोग्राद", "पोलैंड", "पेरिस", "इनमें कोई नहीं", "A", "सेंट पीटर्सबर्ग का नया नाम पेत्रोग्राद पड़ा।"
"48. रूसी शासक जार निकोलस द्वितीय ने कब त्यागपत्र दिया?", "10 जनवरी, 1910", "2 मार्च, 1917", "15 फरवरी, 1915", "इनमें कोई नहीं", "B", "रूसी शासक जार निकोलस द्वितीय ने 2 मार्च, 1917 को त्यागपत्र दिया।"
"49. लुई ब्लांक कौन था?", "एक राष्ट्रवादी", "एक ज्योतिषज्ञ", "एक उद्योगपति", "इनमें कोई नहीं", "A", "लुई ब्लांक एक राष्ट्रवादी था।"
"50. बास्तील का पतन किस बात का प्रतीक था?", "स्वतंत्रता का", "समानता का", "बंदूक की", "युद्ध के खिलाफ", "A", "बास्तील का पतन स्वतंत्रता का प्रतीक था।"