Question Number,Question,Option A,Option B,Option C,Option D,Answer
1,राष्ट्रीय सांख्यिकी दिवस मनाया जाता है?,23 जून,25 जून,29 जून,30 जून,A
2,गोवा को पुर्तगालियो की राजधानी कब बनाया गया?,1510,1530,1505,1533,A
3,विद्युत सेल ऊर्जा का रूपांतरण करता है-,रासायनिक को विद्युत,विद्युत को रासायनिक,सौर्य को विद्युत,रासायनिक को सौर्य,A
4,निम्न में कौन सुमेलित नहीं है?,सापेक्षता सिद्धांत,चुम्बकीय प्रेरण सिद्धांत,तरंग सिद्धांत,विद्युत चुम्बकीय सिद्धांत,B
5,कौन उष्ण कटिबंधीय घास का मैदान है?,प्रेयरी,पम्पास,स्टेपी,सवाना,B
6,राष्ट्रीय आपातकाल निम्न आधारों पर लगाए जा सकते है-,युद्ध,बाह्य आक्रमण,सशस्त्र विद्रोह,आंतरिक अशांति,D
7,धन विधेयक की परिभाषा वर्णित है-,अनु०-109,अनु०-110,अनु०-117,अनु०-100,B
8,रेलवे बोर्ड के नए अध्यक्ष/CEO कौन बने हैं-,जया वर्मा सिन्हा,अनिल कुमार लोहारी,विनोद कुमार यादव,अमित अग्रवाल,A
9,G-20 का 19वां (2024) सम्मेलन कहां होगा?,इंडोनेशिया,ब्राजील,इटली,भारत,D
10,पुलकेशिन II द्वारा नर्मदा नदी के किनारे हर्षवर्धन के पराजय का प्रमाण मिलता है-,प्रयाग-प्रशस्ति लेख,ऐहोल अभिलेख,हाथीगुम्फा अभिलेख,मंदसौर अभिलेख,B
11,दिल्ली सल्तनत का एकमात्र स्वयं लिखा है- सुल्तान जिसने अपनी आत्मकथा,मोहम्मद चिन तुगलक,बलवन,कुतुबद्दीन ऐबक,फिरोज शाह तुगलक,D
12,अम्ल में सामान्यतः गुण पाया जाता है-,प्रोटॉन दे सकता है,इलेक्ट्रॉन दे सकता है,इलेक्ट्रॉन ले सकता है,प्रोटॉन ले सकता है,A
13,कपास अनुसंधान संस्थान अवस्थित है-,कानपुर,लखनऊ,नागपुर,बेंगलुरु,C
14,भारत में सिंधु नदी की सबसे बड़ी सहायक नदी है-,झेलम,चेनाब,सतलज,रावी,C
15,आवर्त में बाएं से दाएं जाने पर परमाणु आकार-,घटेगा,बढ़ेगा,कोई परिवर्तन नहीं,पहले घटेगा फिर बढ़ेगा,A
16,अम्ल में सामान्यतः गुण पाया जाता है-,प्रोटॉन दे सकता है,इलेक्ट्रॉन दे सकता है,इलेक्ट्रॉन ले सकता है,प्रोटॉन ले सकता है,A
17,आर्य महिला समाज की संस्थापक थी-,पंडिता रामाबाई,सावित्री बाई फूले,पंडिता रुखमाबाई,ज्योतिबा राव फुले,A
18,बुद्ध की प्रथम मूर्ति प्राप्त हुआ है,मधुरा कला में,गांधार कला में,गोधिक कला में,उपरोक्त में से कोई नहीं,B
19,बोधिसत्व पद्मपाणि का चित्र मिला है-,एलोरा चित्रकला में,अजन्ता चित्रकला में,बाघ चित्रकला में,बौद्ध ग्रंथों में,D
20,न्यायपालिका का कार्यपालिका से पृथक्करण वर्णित है-,प्रस्तावना में,सातवीं अनुसूची में,नीति निदेशक सिद्धांत में,उपरोक्त में से कोई नहीं,D
21,आत्मविश्वास' में समास है-,अव्ययीभाव,द्वन्द्व,तत्पुरुष,द्विगू,A
22,2023 का चिकित्सा का नोबेल दिया गया है-,कैरालिन कारिको,पियरे आगस्टिनी,डू विसमैन,AC दोनों,A
23,33वां ग्रीष्मकालीन ओलंपिक कहाँ आयोजित होगा?,ऑस्ट्रेलिया,लास एंजलिस,ब्राजील,दूसरा विकल्प,D
24,वैश्विक यूनिकॉन रैंकिंग-2023 में शीर्ष पर है-,भारत,चीन,जापान,अमेरिका,C
25,गरीबी उन्मूलन तथा आत्मनिर्भरता किस योजना का लक्ष्य था?,तीसरी पंचवर्षीय योजना,चौथी पंचवर्षीय योजना,पांचवी पंचवर्षीय योजना,दूसरी पंचवर्षीय योजना,D
26,बैंक दर में कमी की ऋण उपलब्धता पर क्या प्रभाव पड़ेगा?,ऋण कम हो जाएगा,बढ़ जाएगा,कोई परिवर्तन नहीं,बैंक ऋण देना बंद कर देगा,B
27,राज्यपाल कितने सदस्यों की विधानपरिषद में मनोनीत करता है।,1/6 सदस्य,1/12 सदस्य,1/3 सदस्य,कोई नहीं,C
28,कृषि में प्रयुक्त यूरिया में नाइट्रोजन की मात्रा होती है-,42%,46%,36%,28%,B
29,घटनाओं को क्रमानुसार सजाइए,सविनय अवज्ञा आंदोलन,गांधी इरविन समझौता,भगत सिंह को फांसी,कांग्रेस का कराची अधिवेशन,A
30,गुरिल्ला युद्ध में शिवाजी के अग्रगामी कौन थे-,मलिक कफूर,मलिक अंबर,मलिक छज्जू,औरंगजेब,B
31,वायरस के विकास के लिए आवश्यक है-,जीवाणु,पौधे,जानवर,जीवित कोशिकाएं,D
32,क्रोमैटोग्राफी एक तकनीक है-,ठोस को गैस से अलग करने का,पदार्थों की संरचना निर्धारण में,द्रव मिश्रण से पदार्थों को अलग करने का,रंगीन पदार्थों को अलग करने का,C
33,"पदार्थ के संवेग, वेग का अनुपात क्या है।",त्वरण,वेग,बल,द्रव्यमान,D
34,ब्रोमिन सामान्य ताप पर होती है-,रंगहीन गैस,ज्वलनशील गैस,ठोस,कोई नहीं,B
35,भारत में सर्वाधिक भू-भाग पर कौन-सी मिट्टी पाई जाती है?,लाल मिट्टी,जालोव मिट्टी,लेटेराइट मिट्टी,काली मिट्टी,D
36,बिहार के नखास पिंड आंदोलन का संबंद्ध है-,चंपारण सत्याग्रह,असहयोग आंदोलन,भारत छोड़ो आंदोलन,सविनय अवज्ञा आंदोलन,A
37,घूमती हुई वस्तुओं की गति मापने वाला यंत्र है-,पाइरोमीटर,गाइरोस्कोप,एसा,पाइरेटोमीटर,B
38,मनुष्य के शरीर की दूसरी सबसे बड़ी ग्रंथि है-,यकृत,अमाशय,धायरीड,अग्नाशय,D
39,गन में उपस्थित अवयव है-,तांबा जस्ता निकेल,तांबा जस्ता टिन,तांबा जस्ता,तांबा बिस्मथ,C
40,"कार्य, विस्थापन, बल में क्या संबंध है?",कार्य विस्थापन बल,कार्य बल/विस्थापन,कार्य विस्थापन- बल,कार्य विस्थापन बल,C
41,कलकत्ता में उच्चतम न्यायालय की स्थापना की गई-,1833 के अधिनियम द्वारा,1813 के अधिनियम द्वारा,1773 के अधिनियम द्वारा,1784 के अधिनियम द्वारा,A
42,आल इंडिया ट्रेड यूनियन कांग्रेस (AITUC) के प्रथम अध्यक्ष थे-,जवाहर लाल नेहरू,राजेन्द्र प्रसाद,सच्चिदानंद सिंहा,बी. पी. चक्रवर्ती,D
43,मूल भारतीय रासायनिक तत्वों का खोजकर्ता कौन है?,डॉ. सी. वी. रमन,डॉ. भीम राव अंबेडकर,डॉ. हरगोविंद खुराना,डॉ. जगरनाथ शर्मा,A
44,गांधीजी द्वारा घोषित 'पूर्ण स्वराज' का लक्ष्य था-,कांग्रेस का अधिवेशन,लक्ष्य,स्वतंत्रता,संगठन,C
45,सविनय अवज्ञा आंदोलन के प्रमुख नेता थे-,महात्मा गांधी,नेहरू,सुभाष चंद्र बोस,लाल बहादुर शास्त्री,A
46,वायुमंडल की मोटाई है-,50 किमी,75 किमी,100 किमी,200 किमी,A
47,भारतीय राष्ट्रीय कांग्रेस के संस्थापक थे-,लाला लाजपत राय,बाल गंगाधर तिलक,वो.न.शं. तिलक,ए. ओ. ह्यूम,D
48,चंद्रमा का सबसे बड़ा समुद्र है-,सीयाल,सी चंद्र,सी मोन,सी प्रकाश,B
49,केन्द्रीय स्वास्थ्य मंत्रालय की स्थापना हुई-,1948,1950,1951,1952,A
50,अंतर्राष्ट्रीय नारी दिवस मनाया जाता है-,8 मार्च,12 मार्च,18 मार्च,25 मार्च,A
51,भारत का सबसे बड़ा बांध कौन सा है?,भीमगढ़,भाखड़ा नांगल,नर्मदा,कृष्णा,B
52,स्वतंत्रता संग्राम के प्रसिद्ध नेता बंकिम चंद्र चट्टोपाध्याय का उपनाम था-,रवींद्र,सुवर्ण,अभिनव,सौम्य,C
53,केंद्र सरकार के गठन की प्रक्रिया कौन सी है?,संसदीय,संविधानात्मक,राष्ट्रपति,गवर्नर,A
54,सर्वोच्च न्यायालय की स्थापना की गई थी-,1950,1952,1955,1958,A
55,जनसंख्या की वृद्धि दर को मापने की इकाई है-,मिली,प्रतिशत,किलो,घन,B
56,भारत में संविधान सभा का गठन कब हुआ?,1946,1947,1948,1949,A
57,"किसी भौगोलिक क्षेत्र के लिए विशेष आदान-प्रदान, जिसके परिणामस्वरूप अनुकूल वातावरण पैदा होता है, उसे क्या कहते हैं?",वातावरण,जलवायु,मौसम,अक्षांश,B
58,भारत का पहला उपग्रह कौन सा था?,आर्यभट्ट,भास्कर,अचूत,सागर,A
59,निम्नलिखित में से कौन सा ग्रह सबसे गर्म है?,मंगल,शुक्र,धरती,बुध,B
60,दूसरे विश्व युद्ध की शुरुआत कब हुई?,1939,1940,1941,1942,A
61,पृथ्वी की सबसे ऊँचाई वाली पर्वत श्रृंखला कौन सी है?,हिमालय,आल्प्स,एंडीज,उष्णकटिबंधीय,A
62,कृषि के क्षेत्र में सर्वश्रेष्ठ उत्पादन के लिए सबसे उपयुक्त मिट्टी है-,काली मिट्टी,लाल मिट्टी,जालोव मिट्टी,लेटेराइट मिट्टी,A
63,भारत का सबसे बड़ा राज्य कौन सा है?,राजस्थान,महाराष्ट्र,उत्तर प्रदेश,मध्य प्रदेश,A
64,परीक्षा के दौरान अनुशासन से संबंधित नियमों का उल्लंघन करने पर क्या कार्रवाई की जाती है?,पुनरावृत्ति,असाधारण परिणाम,निलंबन,अनुशासनात्मक कार्यवाही,D
65,सभी जीवों की मूलभूत विशेषता क्या है?,विकास,प्रजनन,संवेदनशीलता,स्वतंत्रता,B
66,भारतीय कृषि को प्रोत्साहित करने के लिए सबसे प्रभावी योजना कौन सी है?,मूल्य समर्थन योजना,महात्मा गांधी राष्ट्रीय ग्रामीण रोजगार योजना,प्रधानमंत्री फसल बीमा योजना,राष्ट्रीय कृषि विकास योजना,C
67,पानी की सबसे बड़ी मात्रा कौन से महासागर में होती है?,अटलांटिक,अधिकारी,पैसिफिक,आर्कटिक,C
68,किसके द्वारा प्रत्यक्ष निर्वाचित लोकसभा सदस्य चुने जाते हैं?,राज्य सरकार,केंद्र सरकार,चुनाव आयोग,पार्टी अध्यक्ष,C
69,भारत में सर्वोच्च न्यायालय की मुख्य सीट कहाँ स्थित है?,नई दिल्ली,मुंबई,कोलकाता,चंडीगढ़,A
70,निम्नलिखित में से कौन सा प्रमुख जलवायु परिवर्तन प्रभाव है?,सूखा,उत्सर्जन,वृष्टि,सुनामी,A
71,केंद्र सरकार का कार्यकारी प्रमुख कौन होता है?,राष्ट्रपति,प्रधानमंत्री,वित्त मंत्री,गृह मंत्री,B
72,विज्ञान के क्षेत्र में सर्वश्रेष्ठ योगदान के लिए नोबेल पुरस्कार किसके द्वारा प्रदान किया जाता है?,स्वीडन,नॉर्वे,डेनमार्क,फिनलैंड,A
73,संसद के दोनों सदनों की संयुक्त बैठक के लिए अध्यक्ष कौन होता है?,राष्ट्रपति,प्रधानमंत्री,लोकसभा अध्यक्ष,राज्यसभा अध्यक्ष,A
74,भारतीय राष्ट्रीय कांग्रेस की स्थापना की गई थी-,1885,1890,1900,1910,A
75,विषाणु रोगों का उपचार किसका विकास करता है?,टीका,आँख दवाइयाँ,एंटीबायोटिक्स,विटामिन,A
76,भारत में सबसे बड़ा मीठे पानी का झील कौन सा है?,वुलर,सतपुड़ा,विघ्र,संगाई,A
77,डिजिटल मार्केटिंग में SEO का पूरा नाम क्या है?,सर्च इंजन ऑप्टिमाइजेशन,सोशल एंटरप्राइज ऑप्टिमाइजेशन,स्मार्ट एंटरप्राइज ऑप्टिमाइजेशन,स्ट्रैटेजिक एंटरप्राइज ऑप्टिमाइजेशन,A
78,पारंपरिक भारतीय चिकित्सा पद्धति क्या है?,आयुर्वेद,होम्योपैथी,अलोपैथी,यूनानी,A
79,धातु के यथार्थ गुणधर्मों का अध्ययन किस विज्ञान से संबंधित है?,धातुविज्ञान,रसायनशास्त्र,भौतिकी,जीवविज्ञान,A
80,भारतीय स्वतंत्रता संग्राम की शुरुआत की पहली घटना क्या थी?,सिपाही विद्रोह,स्वदेशी आंदोलन,सविनय अवज्ञा आंदोलन,असहयोग आंदोलन,A
81,वायुमंडल की मोटाई कहाँ से मापी जाती है?,सागर तल से,पहाड़ों से,उपग्रह से,वन क्षेत्रों से,A
82,स्वतंत्रता संग्राम के दौरान गवर्नर जनरल का नाम क्या था?,लॉर्ड मिंटो,लॉर्ड कर्जन,लॉर्ड लिटन,लॉर्ड रिपन,B
83,सांसद का कार्यकाल कितना होता है?,5 वर्ष,4 वर्ष,6 वर्ष,2 वर्ष,A
84,भारतीय संविधान का संशोधन किसके द्वारा किया जाता है?,संसद,राष्ट्रपति,उच्चतम न्यायालय,राज्यपाल,A
85,मोहम्मद तुगलक का शासन काल किस प्रकार के सुधारों के लिए जाना जाता है?,आर्थिक सुधार,सामाजिक सुधार,सैनिक सुधार,संवैधानिक सुधार,A
86,प्रस्तावना का उद्देश्य क्या होता है?,संविधान की मूल बातें निर्धारित करना,संविधान के अधिनियम को स्पष्ट करना,संविधान को लागू करना,संविधान को संशोधित करना,A
87,कौन सी नदी भारत के पश्चिमी घाट से निकलती है?,गोदावरी,कावेरी,सप्तक्षी,गंगा,A
88,किस शासक ने दिल्ली में लाल किला बनवाया?,शाहजहाँ,अकबर,बाबर,औरंगजेब,A
89,भारतीय संविधान में सर्वोच्च कानून के रूप में कौन सा तत्व वर्णित है?,प्रस्तावना,अनुच्छेद 370,धारा 21,संविधान की नीति,A
90,कौन सा राज्य 'रानी के किले' के लिए प्रसिद्ध है?,राजस्थान,गुजरात,मध्य प्रदेश,उत्तर प्रदेश,A
91,विज्ञान के क्षेत्र में भारत का पहला नोबेल पुरस्कार किसे मिला?,रवींद्रनाथ ठाकुर,सी. वी. रमन,सुभाष चंद्र बोस,विक्रम साराभाई,B
92,भारत का सबसे बड़ा दलहन उत्पादक राज्य कौन सा है?,मध्य प्रदेश,राजस्थान,पंजाब,उत्तर प्रदेश,A
93,ध्वनि की गति' की मात्रक क्या होती है?,मीटर प्रति सेकंड,किलोमीटर प्रति घंटे,सेंटीमीटर प्रति मिनट,नॉट,A
94,भारत में रेल परिवहन का उद्घाटन कब हुआ?,1853,1860,1870,1880,A
95,किसके द्वारा भारतीय तट रक्षक बल की स्थापना की गई?,अटल बिहारी वाजपेयी,लाल बहादुर शास्त्री,इंदिरा गांधी,जवाहरलाल नेहरू,D
96,भारतीय स्वतंत्रता संग्राम में गदर पार्टी का प्रमुख नेता कौन था?,भगत सिंह,चंद्रशेखर आजाद,सुखदेव,उधम सिंह,D
97,महात्मा गांधी का सत्याग्रह के लिए पहला आंदोलन कौन सा था?,चंपारण सत्याग्रह,असहयोग आंदोलन,नमक सत्याग्रह,दांडी मार्च,A
98,संसद के दोनों सदनों के सदस्यों की संयुक्त बैठक की अध्यक्षता कौन करता है?,राष्ट्रपति,लोकसभा अध्यक्ष,राज्यसभा अध्यक्ष,प्रधानमंत्री,A
99,भारत में मृदा के अपरदन को रोकने के लिए कौन सी योजना है?,जल संसाधन प्रबंधन योजना,सार्वजनिक निर्माण योजना,पृथ्वी संरक्षण योजना,कृषि विकास योजना,C
100,गांधीजी के 'नमक सत्याग्रह' की शुरुआत कहाँ से हुई थी?,दांडी,चंपारण,सूरत,अहमदाबाद,A